"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?../file-association/@content-type ","must exist: ?@describer ","?@describer java#implements org.eclipse.core.runtime.content.IContentDescriber ","must exist: ?describer/@class ","?describer/@class java#implements org.eclipse.core.runtime.content.IContentDescriber  ","variable ?@id ","variable ?../file-association/@content-type ","variable ?@describer ","variable ?describer/@class "
"    org.eclipse.jpt.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.jpt.core.content.orm ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.jpt.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.jpt.core.content.persistence ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.wst.jsdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","jsSource ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.uml2.uml","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml_2_0_0 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml_2_1_0 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml_2_1 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml_2_1_1 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.mof.cmof ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.cdt.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","cSource ","? ","? ","?            "
"    org.eclipse.cdt.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","cHeader ","? ","? ","?            "
"    org.eclipse.cdt.core","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","cxxSource ","? ","? ","?            "
"    org.eclipse.cdt.core","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","cxxHeader ","? ","? ","?            "
"    org.eclipse.cdt.core","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","asmSource ","? ","? ","?            "
"    org.eclipse.cdt.core","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","binaryFile ","? ","? ","?            "
"    org.eclipse.wst.css.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","csssource ","? ","? ","org.eclipse.wst.css.core.internal.contenttype.ContentDescriberForCSS            "
"    org.eclipse.wst.html.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","htmlsource ","? ","? ","org.eclipse.wst.html.core.internal.contenttype.ContentDescriberForHTML            "
"    org.eclipse.emf.ecore.xmi","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.ecore.xmi ","? ","? ","org.eclipse.emf.ecore.xmi.impl.XMLContentHandlerImpl$XMI$Describer            "
"    org.eclipse.emf.ecore.xmi","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.ecore ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.emf.ecore.xmi","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.emof ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.pde","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","pluginManifest ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","fragmentManifest ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","featureManifest ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","siteManifest ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","productFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","targetFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","schema ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","pluginProperties ","? ","? ","?            "
"    org.eclipse.pde","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","buildProperties ","? ","? ","?            "
"    org.eclipse.pde","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","bundleManifest ","? ","org.eclipse.pde.internal.core.content.BundleManifestDescriber ","?            "
"    org.eclipse.pde","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","simpleCheatSheet ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","compositeCheatSheet ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","tocFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.pde","anonymous",TRUE,14,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ctxHelpFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.wst.dtd.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","dtdsource ","? ","? ","org.eclipse.wst.dtd.core.internal.content.ContentDescriberForDTD            "
"    org.eclipse.jst.ws.axis.consumption.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","wsddsource ","? ","? ","?            "
"    org.eclipse.wst.xsd.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","xsdsource ","? ","? ","?            "
"    org.eclipse.xsd","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.xsd ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber2            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","jspsource ","? ","? ","org.eclipse.jst.jsp.core.internal.contenttype.ContentDescriberForJSP            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","jspfragmentsource ","? ","? ","org.eclipse.jst.jsp.core.internal.contenttype.ContentDescriberForJSP            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","tagsource ","? ","? ","?            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","tldsource ","? ","? ","?            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","cssjspsource ","? ","? ","org.eclipse.jst.jsp.css.core.internal.contenttype.ContentDescriberForJSPedCSS            "
"    org.eclipse.jst.jsp.core","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","cssjspfragmentsource ","? ","? ","org.eclipse.jst.jsp.css.core.internal.contenttype.ContentDescriberForJSPedCSS            "
"    org.eclipse.jdt.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","javaProperties ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.jdt.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","javaSource ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.jdt.core","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","javaClass ","org.eclipse.core.runtime.xml ","? ","org.eclipse.core.runtime.content.BinarySignatureDescriber            "
"    org.eclipse.jdt.core","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","JARManifest ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.birt.report.designer.ui.editors","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.reportdesign ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.birt.report.designer.ui.editors","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.reportlibrary ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.birt.report.designer.ui.editors","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.reporttemplate ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.birt.report.designer.ui.editors","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.reportdocument ","? ","? ","org.eclipse.birt.report.designer.ui.editors.ReportDocumentDescript            "
"    org.eclipse.emf.ecore.sdo","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.ecore.sdo ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.wst.ws","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","wsilsource ","? ","? ","?            "
"    org.eclipse.emf.mapping.ecore2ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ejbDD ","? ","? ","org.eclipse.jst.j2ee.contenttype.J2EEContentDescriber            "
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","webDD ","? ","? ","org.eclipse.jst.j2ee.contenttype.J2EEContentDescriber            "
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","earDD ","? ","? ","org.eclipse.jst.j2ee.contenttype.J2EEContentDescriber            "
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","appclientDD ","? ","? ","org.eclipse.jst.j2ee.contenttype.J2EEContentDescriber            "
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","connectorDD ","? ","? ","org.eclipse.jst.j2ee.contenttype.J2EEContentDescriber            "
"    org.eclipse.core.resources","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","preferences ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.wst.javascript.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","javascriptsource ","? ","? ","?            "
"    org.eclipse.ant.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","antBuildFile ","? ","? ","org.eclipse.ant.internal.core.contentDescriber.AntBuildfileContentDescriber            "
"    org.eclipse.ltk.core.refactoring","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","refactoringIndex ","? ","? ","?            "
"    org.eclipse.ltk.core.refactoring","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","refactoringHistory ","? ","? ","?            "
"    org.eclipse.emf.mapping.ecore2xml","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2xml ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.emf.codegen.ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.codegen.genmodel ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.jst.jsf.facesconfig","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","facesConfigFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5ejbDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5webDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5earDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5appclientDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","xmisource ","? ","? ","?            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","xmlsource ","? ","? ","org.eclipse.wst.xml.core.internal.contenttype.ContentDescriberForXML            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","xslsource ","? ","? ","?            "
"    org.eclipse.wst.wsdl","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","wsdlsource ","? ","? ","?            "
