"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@class ","?@class java#implements org.eclipse.core.commands.IHandler ","?@class junit#verifies net.java.treaty.eclipse.system.tests.org.eclipse.core.commands.IHandlerTests ","must exist: ?class/@class ","?class/@class java#implements org.eclipse.core.commands.IHandler ","?class/@class junit#verifies net.java.treaty.eclipse.system.tests.org.eclipse.core.commands.IHandlerTests  ","variable ?@class ","variable ?class/@class "
"    org.eclipse.rse.terminals.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.rse.internal.terminals.ui.handlers.LaunchTerminalCommandHandler ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.context.ui.commands.AttachContextHandler ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.context.ui.commands.RetrieveContextHandler ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.context.ui.commands.CopyContextHandler ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.context.ui.commands.ClearContextHandler ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.context.ui.commands.RetrieveContextAttachmentHandler ","?            "
"    org.eclipse.mylyn.tasks.bugs","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.tasks.bugs.actions.NewTaskFromMarkerHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.validation.core.errorinfo.ReferencedFileErrorsHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CleanupdocumentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.AddBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.RemoveBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectEnclosingXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectNextXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectPreviousXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.StructuredSelectHistoryHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.XMLFindOccurencesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.NextSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.PreviousSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ReloadDependenciesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,14,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleEditModeHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,15,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.wizards.NewXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,16,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ExpandAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,17,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CollapseAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,18,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.FormatHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.validation.core.errorinfo.ReferencedFileErrorsHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CleanupdocumentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.AddBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.RemoveBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectEnclosingXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectNextXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectPreviousXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.StructuredSelectHistoryHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.XMLFindOccurencesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.NextSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.PreviousSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ReloadDependenciesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,14,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleEditModeHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,15,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.wizards.NewXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,16,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ExpandAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,17,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CollapseAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,18,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.FormatHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.validation.core.errorinfo.ReferencedFileErrorsHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CleanupdocumentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.AddBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.RemoveBlockCommentHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectEnclosingXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectNextXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.StructuredSelectPreviousXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.StructuredSelectHistoryHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.XMLFindOccurencesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.NextSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.PreviousSiblingNavigationHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ReloadDependenciesHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,14,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ToggleEditModeHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,15,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.wizards.NewXMLHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,16,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.ExpandAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,17,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.internal.handlers.CollapseAllHandler ","?            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,18,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.internal.handlers.FormatHandler ","?            "
"    org.eclipse.pde.runtime","anonymous",FALSE,1,"FAILURE ","SUCCESS ","SUCCESS ","failed functional test – net.java.treaty.eclipse.system.tests.org.eclipse.core.commands.IHandlerTests","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.pde.internal.runtime.spy.handlers.SpyHandler ","?            "
"    org.eclipse.update.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.update.internal.ui.views.ManageConfigurationHandler ","?            "
"    org.eclipse.update.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.update.internal.ui.views.FindAndInstallHandler ","?            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.css.ui.internal.handlers.CleanupDocumentHandler ","?            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.css.ui.internal.handlers.StructuredSelectEnclosingHandler ","?            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.css.ui.internal.handlers.StructuredSelectNextHandler ","?            "
