"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@targetID  ","variable ?@targetID "
"    org.eclipse.dltk.mylyn","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.mylyn.dltk.actionSet.browsing            "
"    org.eclipse.dltk.testing","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.dltk.testing.testingActionSet            "
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.birt.report.debug.ui.DeubgScript            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.xml.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ui.JDTDebugActionSet            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.mylyn.java.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.mylyn.java.actionSet            "
"    org.eclipse.mylyn.java.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.mylyn.java.actionSet.browsing            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ant.ui.actionSet.presentation            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.pde.ui.SearchActionSet            "
"    org.eclipse.birt.report.designer.ui.preview.web","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.previewActionSet            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.dltk.debug.ui.ScriptDebugActionSet            "
"    org.eclipse.wst.javascript.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.javascript.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.ui.A_OpenActionSet            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.ui.CodingActionSet            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.ui.SearchActionSet            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.ui.text.java.actionSet.presentation            "
"    org.eclipse.wst.html.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.html.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.wst.sse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.wst.sse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.ui.NavigateActionSet            "
"    org.eclipse.wst.sse.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.dltk.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.presentation            "
"    org.eclipse.dltk.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.dltk.ui.A_OpenActionSet            "
"    org.eclipse.dltk.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.dltk.ui.ScriptCodingActionSet            "
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.junit.JUnitActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.SearchActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.CodingActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.OpenActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.NavigationActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.cdt.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.text.c.actionSet.presentation            "
"    org.eclipse.jst.pagedesigner","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.birt.report.designer.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.publishActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.A_OpenActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.CodingActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.SearchActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.text.java.actionSet.presentation            "
